Country,Predicted_Stress
Malawi,High Stress
Mozambique,High Stress
Ethiopia,High Stress
Zimbabwe,High Stress
Tanzania,High Stress
Uganda,High Stress
Lesotho,High Stress
Eswatini,High Stress
Ukraine,High Stress
Nigeria,High Stress
North Korea,High Stress
Ghana,High Stress
Kenya,High Stress
Iraq,High Stress
Bangladesh,High Stress
Nepal,High Stress
Pakistan,High Stress
Brazil,High Stress
Venezuela,High Stress
Myanmar,Medium Stress
Bolivia,High Stress
South Africa,High Stress
Cambodia,Medium Stress
Morocco,Medium Stress
Lebanon,Medium Stress
Papua New Guinea,Medium Stress
India,Medium Stress
Solomon Islands,Medium Stress
Tunisia,Medium Stress
Indonesia,Medium Stress
Egypt,Medium Stress
Iran,Medium Stress
Philippines,Medium Stress
Ecuador,Medium Stress
Sri Lanka,Medium Stress
Peru,Medium Stress
Jordan,Medium Stress
Colombia,Medium Stress
Vietnam,Medium Stress
Russia,Medium Stress
Uzbekistan,Medium Stress
Mexico,Medium Stress
Mongolia,Medium Stress
Thailand,Medium Stress
Fiji,Medium Stress
Georgia,Medium Stress
Azerbaijan,Medium Stress
Argentina,Medium Stress
Armenia,Medium Stress
Kazakhstan,Medium Stress
Malaysia,Medium Stress
Chile,Medium Stress
Turkey,Medium Stress
Costa Rica,Medium Stress
China,Medium Stress
Romania,Medium Stress
Hungary,Medium Stress
Portugal,Medium Stress
Saudi Arabia,Medium Stress
United States,Medium Stress
Serbia,Medium Stress
Poland,Medium Stress
Greece,Medium Stress
Lithuania,Medium Stress
Estonia,Medium Stress
Israel,Medium Stress
Cuba,Medium Stress
Slovenia,Medium Stress
Czech Republic,Medium Stress
South Korea,Medium Stress
New Zealand,Medium Stress
Hong Kong,Medium Stress
Australia,Medium Stress
France,Medium Stress
UAE,Medium Stress
Belgium,Medium Stress
Taiwan,Medium Stress
Canada,Medium Stress
United Kingdom,Medium Stress
Italy,Medium Stress
Japan,Medium Stress
Ireland,Medium Stress
Finland,Medium Stress
Spain,Medium Stress
Austria,Medium Stress
Germany,Medium Stress
Netherlands,Low Stress
Sweden,Low Stress
Denmark,Low Stress
Singapore,Low Stress
Switzerland,Low Stress
Norway,Low Stress
